Strain,Stress
0.022864957,316.5476467
0.02316459,316.6583638
0.023463617,316.768411
0.023764032,316.8783541
0.024067927,316.9881917
0.024377878,317.09767
0.024686852,317.2069655
0.024995073,317.3148451
0.025302835,317.4226907
0.025609272,317.5310392
0.025911865,317.6387744
0.02621582,317.7460652
0.026517069,317.8531742
0.026816497,317.9580676
0.027113504,318.0628302
0.027412686,318.1671319
0.027706927,318.2710112
0.028000805,318.375043
0.028298644,318.4791151
0.02859681,318.58257
0.028890216,318.6861532
0.029185856,318.7899127
0.029482632,318.8933483
0.029778663,318.9962954
0.030072662,319.0984187
0.030367215,319.1998665
0.030661339,319.300858
0.030952428,319.4010482
0.031246384,319.5004849
0.031539048,319.5995258
0.031835423,319.6977557
0.032133079,319.7954457
0.032433853,319.8942266
0.032734587,319.993286
0.033034524,320.0923557
0.033336018,320.1915078
0.033640455,320.2897838
0.033938305,320.3865472
0.03424067,320.482761
0.034540536,320.5776957
0.034841348,320.6724168
0.035143422,320.766916
0.035443702,320.8624457
0.035747243,320.9578073
0.036052801,321.0528831
0.03635652,321.1472205
0.036663868,321.2403868
0.036972834,321.3325188
0.03728067,321.4254445
0.037588736,321.5174231
0.037896125,321.6092876
0.038200508,321.7014245
0.038508673,321.7925251
0.038817967,321.8833924
0.03912292,321.973132
0.039425982,322.0618821
0.039729532,322.1506029
0.04003552,322.2392116
0.040343552,322.325985
0.040652151,322.4120961
0.040964017,322.4977741
0.041275155,322.5827717
0.041584249,322.667983
0.041897085,322.7536844
0.04221118,322.8398442
0.042527399,322.924867
0.042845447,323.009795
0.043163968,323.0939201
0.043481608,323.1761659
0.043796631,323.2578374
0.044118294,323.3381001
0.044439321,323.4167251
0.044762441,323.4945228
0.04508628,323.5730363
0.045412668,323.6510641
0.045740455,323.7289789
0.046066856,323.8073626
0.046395685,323.886423
0.046723064,323.9653794
0.047054057,324.0425998
0.047385144,324.1183957
0.047715471,324.1934794
0.048045196,324.2674136
0.048377043,324.3408926
0.048710777,324.4143222
0.049048067,324.4881886
0.049387338,324.5622
0.049728218,324.6366074
0.050067142,324.7098838
0.050409069,324.7820005
0.050748905,324.8525193
0.051091904,324.9216161
0.051436298,324.9894464
0.051783101,325.0567264
0.052130248,325.1232921
0.052477011,325.190554
0.052827159,325.2572435
0.053178668,325.3241885
0.05353306,325.3902785
0.053893057,325.4561691
0.054253825,325.5218206
0.054617024,325.5864237
0.054981743,325.6513247
0.055347404,325.7146219
0.055716105,325.7776147
0.056085791,325.8397647
0.056461834,325.9009392
0.056835617,325.960976
0.057214694,326.0217279
0.05759746,326.0814777
0.057980671,326.1413622
0.0583696,326.200257
0.05875988,326.2580974
0.05915172,326.3146566
0.05954365,326.3693281
0.059939206,326.4235101
0.060335444,326.4769305
0.060734363,326.5304262
0.061135886,326.5852765
0.061543006,326.6397026
0.061950071,326.6934587
0.062362749,326.7480442
0.062779799,326.8015651
0.063201173,326.8537419
0.063621399,326.9044499
0.064045475,326.9542006
0.0644752,327.0021971
0.064907419,327.0484629
0.065343552,327.0939483
0.065782547,327.1400253
0.066221752,327.1864805
0.066665607,327.23185
0.067113441,327.2767269
0.067565961,327.3203525
0.068025831,327.3616571
0.068485295,327.4010053
0.068946107,327.4385829
0.069412164,327.4752878
0.069876922,327.5113451
0.070347188,327.5475701
0.070822109,327.5834919
0.071301275,327.6190709
0.07178832,327.6547394
0.072275291,327.6891573
0.072771293,327.722328
0.073272654,327.7536598
0.07377703,327.7833664
0.074283199,327.811295
0.07479386,327.8379706
0.075304224,327.8629626
0.075820207,327.8862845
0.07633975,327.9086008
0.076861983,327.9292482
0.077390123,327.9493005
0.077926321,327.9689235
0.07847144,327.9874496
0.07901778,328.0042888
0.079572366,328.0207177
0.080126361,328.0357506
0.080682664,328.0506996
0.081245794,328.0635189
0.081810318,328.0746538
0.082384668,328.0840893
0.082965823,328.0924763
0.083556206,328.0990556
0.084150078,328.1038132
0.084749125,328.1069066
0.085352434,328.1077876
0.085957994,328.1059324
0.086570331,328.1027277
0.087190752,328.0985535
0.087813383,328.0918593
0.088440241,328.0830604
0.08907488,328.0716012
0.089717023,328.0590096
0.09036263,328.0446394
0.091012923,328.0292889
0.091671327,328.0122436
0.092334232,327.9927115
0.093004053,327.9706527
0.093679847,327.9461186
0.094360812,327.9186321
0.095047103,327.888119
0.095735667,327.8549901
0.096426891,327.8207081
0.097124474,327.7845197
0.09782832,327.7477612
0.098535601,327.7098285
0.099256433,327.6703223
0.099978173,327.6275349
0.10070974,327.5816374
0.101442449,327.5312982
0.102177068,327.4764241
0.102915302,327.4196033
0.103653664,327.3603669
0.104396653,327.300257
0.10514197,327.2393654
0.105896706,327.1773252
0.106654218,327.1126193
0.107420938,327.0445173
0.108192944,326.9738727
0.108971226,326.9004518
0.109753893,326.824967
0.110539175,326.7480158
0.111326847,326.6675688
0.112119041,326.5840366
0.112917703,326.4977862
0.113722646,326.4076701
0.114534489,326.3153076
0.1153516,326.2190091
0.116169568,326.1201019
0.116992006,326.0186172
0.117814042,325.9138085
0.118641376,325.8059855
0.119470474,325.695575
0.120304509,325.582744
0.121144491,325.4662501
0.121988479,325.3474173
0.122838723,325.2258997
0.123692135,325.1012598
0.124545833,324.9730636
0.125403706,324.8423155
0.126265577,324.7087199
0.127128333,324.5721994
0.127995545,324.4333585
0.128864864,324.291224
0.129736522,324.1462073
0.130610101,323.9977316
0.131486621,323.8455207
0.132367585,323.6907392
0.133252396,323.5329826
0.134140582,323.3732283
0.135031931,323.2114712
0.135926249,323.0466107
0.136819742,322.8779913
0.137718447,322.7072695
0.138618743,322.5323545
0.139526123,322.3531238
0.140432601,322.1707021
0.14135001,321.9863306
0.142263931,321.7989608
0.143182845,321.6102332
0.144106906,321.4193564
0.14503197,321.2249508
0.145963358,321.0274272
0.146897063,320.8251976
0.147835167,320.6187721
0.148778,320.4082145
0.14972262,320.1954763
0.150666671,319.9808641
0.151609488,319.763563
0.152555371,319.542651
0.153506794,319.3185097
0.154460938,319.0902942
0.155416731,318.8592295
0.156373567,318.6250919
0.157331901,318.3882363
0.158288048,318.1492024
0.159245037,317.9065713
0.160203487,317.6622462
0.161168178,317.4144185
0.162136562,317.1641613
0.163108332,316.9113565
0.164081493,316.6554737
0.165054249,316.3965685
0.166026695,316.1346705
0.167000591,315.8701517
0.167978076,315.6014474
0.16895993,315.3301111
0.169941708,315.0559053
0.170930451,314.7790513
0.171919315,314.4995177
0.172906793,314.2162245
0.173894119,313.9303778
0.174881397,313.6414848
0.17587274,313.3493007
0.176869273,313.0530271
0.177867014,312.7543212
0.178868542,312.4533871
0.179868009,312.1495179
0.180869862,311.842099
0.181870601,311.5314613
0.182869818,311.2172196
0.183874935,310.8999082
0.184884443,310.579765
0.185896788,310.2555175
0.186913286,309.9280548
0.187927014,309.5970001
0.188940746,309.2616332
0.189955463,308.9222074
0.190976017,308.579137
0.192000432,308.2307948
0.193031883,307.877777
0.194073031,307.5185516
0.195123428,307.1515604
0.196189666,306.7761358
0.19728027,306.3879811
0.198422217,305.9778126
0.198934003,305.8061161
0.199446718,305.6330587
0.199964283,305.45865
0.200482394,305.2836113
0.200998243,305.1072332
0.2015154,304.9296312
